model,arm,case,trial_seed,lateral_tilt_degrees,success,terminal,source
cvae,correct,2,107,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_02_rng107/episode_summary.json
cvae,correct,2,108,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_02_rng108/episode_summary.json
cvae,correct,2,109,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_02_rng109/episode_summary.json
cvae,correct,2,110,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_02_rng110/episode_summary.json
cvae,correct,3,101,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng101/episode_summary.json
cvae,correct,3,102,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng102/episode_summary.json
cvae,correct,3,103,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng103/episode_summary.json
cvae,correct,3,104,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng104/episode_summary.json
cvae,correct,3,105,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng105/episode_summary.json
cvae,correct,3,106,-15,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng106/episode_summary.json
cvae,correct,3,107,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng107/episode_summary.json
cvae,correct,3,108,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng108/episode_summary.json
cvae,correct,3,109,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng109/episode_summary.json
cvae,correct,3,110,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_03_rng110/episode_summary.json
cvae,correct,4,101,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng101/episode_summary.json
cvae,correct,4,102,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng102/episode_summary.json
cvae,correct,4,103,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng103/episode_summary.json
cvae,correct,4,104,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng104/episode_summary.json
cvae,correct,4,105,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng105/episode_summary.json
cvae,correct,4,106,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng106/episode_summary.json
cvae,correct,4,107,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng107/episode_summary.json
cvae,correct,4,108,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng108/episode_summary.json
cvae,correct,4,109,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng109/episode_summary.json
cvae,correct,4,110,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_04_rng110/episode_summary.json
cvae,correct,5,101,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng101/episode_summary.json
cvae,correct,5,102,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng102/episode_summary.json
cvae,correct,5,103,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng103/episode_summary.json
cvae,correct,5,104,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng104/episode_summary.json
cvae,correct,5,105,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng105/episode_summary.json
cvae,correct,5,106,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng106/episode_summary.json
cvae,correct,5,107,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng107/episode_summary.json
cvae,correct,5,108,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng108/episode_summary.json
cvae,correct,5,109,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng109/episode_summary.json
cvae,correct,5,110,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_05_rng110/episode_summary.json
cvae,correct,6,101,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng101/episode_summary.json
cvae,correct,6,102,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng102/episode_summary.json
cvae,correct,6,103,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng103/episode_summary.json
cvae,correct,6,104,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng104/episode_summary.json
cvae,correct,6,105,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng105/episode_summary.json
cvae,correct,6,106,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng106/episode_summary.json
cvae,correct,6,107,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng107/episode_summary.json
cvae,correct,6,108,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng108/episode_summary.json
cvae,correct,6,109,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng109/episode_summary.json
cvae,correct,6,110,-15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_06_rng110/episode_summary.json
cvae,correct,7,101,0,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng101/episode_summary.json
cvae,correct,7,102,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng102/episode_summary.json
cvae,correct,7,103,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng103/episode_summary.json
cvae,correct,7,104,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng104/episode_summary.json
cvae,correct,7,105,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng105/episode_summary.json
cvae,correct,7,106,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng106/episode_summary.json
cvae,correct,7,107,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng107/episode_summary.json
cvae,correct,7,108,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng108/episode_summary.json
cvae,correct,7,109,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng109/episode_summary.json
cvae,correct,7,110,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_07_rng110/episode_summary.json
cvae,correct,8,101,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng101/episode_summary.json
cvae,correct,8,102,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng102/episode_summary.json
cvae,correct,8,103,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng103/episode_summary.json
cvae,correct,8,104,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng104/episode_summary.json
cvae,correct,8,105,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng105/episode_summary.json
cvae,correct,8,106,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng106/episode_summary.json
cvae,correct,8,107,15,1,success,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng107/episode_summary.json
cvae,correct,8,108,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng108/episode_summary.json
cvae,correct,8,109,15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng109/episode_summary.json
cvae,correct,8,110,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/behavior/every_step/condition_08_rng110/episode_summary.json
cvae,wrong,0,101,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng101/episode_summary.json
cvae,wrong,0,102,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng102/episode_summary.json
cvae,wrong,0,103,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng103/episode_summary.json
cvae,wrong,0,104,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng104/episode_summary.json
cvae,wrong,0,105,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng105/episode_summary.json
cvae,wrong,0,106,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng106/episode_summary.json
cvae,wrong,0,107,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng107/episode_summary.json
cvae,wrong,0,108,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng108/episode_summary.json
cvae,wrong,0,109,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng109/episode_summary.json
cvae,wrong,0,110,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_00_rng110/episode_summary.json
cvae,wrong,1,101,0,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng101/episode_summary.json
cvae,wrong,1,102,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng102/episode_summary.json
cvae,wrong,1,103,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng103/episode_summary.json
cvae,wrong,1,104,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng104/episode_summary.json
cvae,wrong,1,105,0,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng105/episode_summary.json
cvae,wrong,1,106,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng106/episode_summary.json
cvae,wrong,1,107,0,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng107/episode_summary.json
cvae,wrong,1,108,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng108/episode_summary.json
cvae,wrong,1,109,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng109/episode_summary.json
cvae,wrong,1,110,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_01_rng110/episode_summary.json
cvae,wrong,2,101,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng101/episode_summary.json
cvae,wrong,2,102,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng102/episode_summary.json
cvae,wrong,2,103,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng103/episode_summary.json
cvae,wrong,2,104,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng104/episode_summary.json
cvae,wrong,2,105,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng105/episode_summary.json
cvae,wrong,2,106,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng106/episode_summary.json
cvae,wrong,2,107,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng107/episode_summary.json
cvae,wrong,2,108,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng108/episode_summary.json
cvae,wrong,2,109,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng109/episode_summary.json
cvae,wrong,2,110,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_02_rng110/episode_summary.json
cvae,wrong,3,101,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng101/episode_summary.json
cvae,wrong,3,102,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng102/episode_summary.json
cvae,wrong,3,103,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng103/episode_summary.json
cvae,wrong,3,104,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng104/episode_summary.json
cvae,wrong,3,105,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng105/episode_summary.json
cvae,wrong,3,106,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng106/episode_summary.json
cvae,wrong,3,107,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng107/episode_summary.json
cvae,wrong,3,108,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng108/episode_summary.json
cvae,wrong,3,109,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng109/episode_summary.json
cvae,wrong,3,110,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_03_rng110/episode_summary.json
cvae,wrong,4,101,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng101/episode_summary.json
cvae,wrong,4,102,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng102/episode_summary.json
cvae,wrong,4,103,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng103/episode_summary.json
cvae,wrong,4,104,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng104/episode_summary.json
cvae,wrong,4,105,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng105/episode_summary.json
cvae,wrong,4,106,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng106/episode_summary.json
cvae,wrong,4,107,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng107/episode_summary.json
cvae,wrong,4,108,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng108/episode_summary.json
cvae,wrong,4,109,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng109/episode_summary.json
cvae,wrong,4,110,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_04_rng110/episode_summary.json
cvae,wrong,5,101,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng101/episode_summary.json
cvae,wrong,5,102,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng102/episode_summary.json
cvae,wrong,5,103,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng103/episode_summary.json
cvae,wrong,5,104,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng104/episode_summary.json
cvae,wrong,5,105,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng105/episode_summary.json
cvae,wrong,5,106,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng106/episode_summary.json
cvae,wrong,5,107,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng107/episode_summary.json
cvae,wrong,5,108,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng108/episode_summary.json
cvae,wrong,5,109,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng109/episode_summary.json
cvae,wrong,5,110,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_05_rng110/episode_summary.json
cvae,wrong,6,101,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng101/episode_summary.json
cvae,wrong,6,102,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng102/episode_summary.json
cvae,wrong,6,103,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng103/episode_summary.json
cvae,wrong,6,104,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng104/episode_summary.json
cvae,wrong,6,105,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng105/episode_summary.json
cvae,wrong,6,106,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng106/episode_summary.json
cvae,wrong,6,107,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng107/episode_summary.json
cvae,wrong,6,108,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng108/episode_summary.json
cvae,wrong,6,109,-15,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng109/episode_summary.json
cvae,wrong,6,110,-15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_06_rng110/episode_summary.json
cvae,wrong,7,101,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng101/episode_summary.json
cvae,wrong,7,102,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng102/episode_summary.json
cvae,wrong,7,103,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng103/episode_summary.json
cvae,wrong,7,104,0,1,success,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng104/episode_summary.json
cvae,wrong,7,105,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng105/episode_summary.json
cvae,wrong,7,106,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng106/episode_summary.json
cvae,wrong,7,107,0,0,timeout,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng107/episode_summary.json
cvae,wrong,7,108,0,0,collision,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng108/episode_summary.json
cvae,wrong,7,109,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng109/episode_summary.json
cvae,wrong,7,110,0,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_07_rng110/episode_summary.json
cvae,wrong,8,101,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng101/episode_summary.json
cvae,wrong,8,102,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng102/episode_summary.json
cvae,wrong,8,103,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng103/episode_summary.json
cvae,wrong,8,104,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng104/episode_summary.json
cvae,wrong,8,105,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng105/episode_summary.json
cvae,wrong,8,106,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng106/episode_summary.json
cvae,wrong,8,107,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng107/episode_summary.json
cvae,wrong,8,108,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng108/episode_summary.json
cvae,wrong,8,109,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng109/episode_summary.json
cvae,wrong,8,110,15,0,fall,outputs/e1_full/fits/cvae/seed_13/test/wrong_tilt/every_step/condition_08_rng110/episode_summary.json
flow_matching,correct,0,101,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng101/episode_summary.json
flow_matching,correct,0,102,-15,0,fall,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng102/episode_summary.json
flow_matching,correct,0,103,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng103/episode_summary.json
flow_matching,correct,0,104,-15,0,fall,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng104/episode_summary.json
flow_matching,correct,0,105,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng105/episode_summary.json
flow_matching,correct,0,106,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng106/episode_summary.json
flow_matching,correct,0,107,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng107/episode_summary.json
flow_matching,correct,0,108,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng108/episode_summary.json
flow_matching,correct,0,109,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng109/episode_summary.json
flow_matching,correct,0,110,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_00_rng110/episode_summary.json
flow_matching,correct,1,101,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng101/episode_summary.json
flow_matching,correct,1,102,0,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng102/episode_summary.json
flow_matching,correct,1,103,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng103/episode_summary.json
flow_matching,correct,1,104,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng104/episode_summary.json
flow_matching,correct,1,105,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng105/episode_summary.json
flow_matching,correct,1,106,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng106/episode_summary.json
flow_matching,correct,1,107,0,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng107/episode_summary.json
flow_matching,correct,1,108,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng108/episode_summary.json
flow_matching,correct,1,109,0,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng109/episode_summary.json
flow_matching,correct,1,110,0,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_01_rng110/episode_summary.json
flow_matching,correct,2,101,15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng101/episode_summary.json
flow_matching,correct,2,102,15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng102/episode_summary.json
flow_matching,correct,2,103,15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng103/episode_summary.json
flow_matching,correct,2,104,15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng104/episode_summary.json
flow_matching,correct,2,105,15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng105/episode_summary.json
flow_matching,correct,2,106,15,0,timeout,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng106/episode_summary.json
flow_matching,correct,2,107,15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng107/episode_summary.json
flow_matching,correct,2,108,15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng108/episode_summary.json
flow_matching,correct,2,109,15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng109/episode_summary.json
flow_matching,correct,2,110,15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_02_rng110/episode_summary.json
flow_matching,correct,3,101,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng101/episode_summary.json
flow_matching,correct,3,102,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng102/episode_summary.json
flow_matching,correct,3,103,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng103/episode_summary.json
flow_matching,correct,3,104,-15,0,fall,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng104/episode_summary.json
flow_matching,correct,3,105,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng105/episode_summary.json
flow_matching,correct,3,106,-15,0,fall,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng106/episode_summary.json
flow_matching,correct,3,107,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng107/episode_summary.json
flow_matching,correct,3,108,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng108/episode_summary.json
flow_matching,correct,3,109,-15,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng109/episode_summary.json
flow_matching,correct,3,110,-15,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_03_rng110/episode_summary.json
flow_matching,correct,4,101,0,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng101/episode_summary.json
flow_matching,correct,4,102,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng102/episode_summary.json
flow_matching,correct,4,103,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng103/episode_summary.json
flow_matching,correct,4,104,0,0,collision,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng104/episode_summary.json
flow_matching,correct,4,105,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng105/episode_summary.json
flow_matching,correct,4,106,0,0,timeout,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng106/episode_summary.json
flow_matching,correct,4,107,0,1,success,outputs/e1_full/fits/flow_matching/seed_13/test/behavior/every_step/condition_04_rng107/episode_summary.json
